OilQual,EnginePerf,NormMileage,TyreWear,HVACwear,Service
103.3888212,103.5040319,103.051485,106.1726583,105.6868429,No
26.76551648,26.18826493,31.25953571,29.18616151,31.31127506,Yes
62.41328209,63.68106088,59.72088338,64.70403083,58.62051752,Yes
45.53333801,49.90661497,48.77758055,48.11385093,47.95207173,No
104.3888212,103.2840319,103.051485,105.8226583,106.5368429,No
4.987185029,4.941002901,3.588986167,8.363160669,1.280262162,No
104.4688212,103.7440319,102.291485,106.1726583,107.5368429,No
104.3888212,103.1340319,103.301485,106.1726583,105.5368429,No
4.987185029,5.851002901,9.218986167,8.373160669,2.280262162,No
45.60333801,49.66661497,49.77758055,51.26385093,48.87207173,No
45.53333801,46.66661497,48.62758055,47.27385093,47.95207173,No
5.517185029,6.651002901,3.588986167,8.373160669,1.280262162,No
26.76551648,29.41826493,31.33953571,29.03616151,33.28127506,Yes
104.3888212,103.7440319,103.051485,108.0926583,106.1568429,No
59.28328209,64.64106088,59.72088338,63.30403083,62.62051752,Yes
49.53333801,49.66661497,49.68758055,48.26385093,48.00207173,No
45.70333801,46.78661497,49.77758055,48.26385093,47.95207173,No
4.987185029,2.891002901,6.588986167,11.78316067,1.550262162,No
46.47333801,49.66661497,49.77758055,45.91385093,47.95207173,No
28.76551648,27.41826493,31.25953571,28.59616151,31.11127506,Yes
46.07333801,48.34661497,49.77758055,48.26385093,45.95207173,No
103.4188212,102.6340319,103.051485,105.1726583,105.5368429,No
105.2588212,103.7440319,101.541485,105.1726583,105.5368429,No
45.53333801,48.80661497,46.77758055,48.23385093,47.95207173,No
46.30333801,49.66661497,48.22758055,45.26385093,47.95207173,No
4.987185029,3.021002901,5.588986167,8.373160669,0.460262162,No
4.987185029,4.891002901,4.358986167,8.373160669,1.660262162,No
28.79551648,27.41826493,31.69953571,29.03616151,31.31127506,Yes
104.6988212,103.7440319,103.051485,106.2226583,105.5368429,No
45.53333801,49.66661497,46.77758055,47.51385093,47.66207173,No
103.9388212,103.7440319,104.161485,106.1726583,105.5368429,No
5.987185029,4.891002901,8.578986167,10.54316067,1.280262162,No
103.6688212,103.7440319,103.051485,106.1726583,105.8168429,No
106.4288212,103.7440319,103.311485,106.1726583,105.5368429,No
64.41328209,62.74106088,59.72088338,62.47403083,63.72051752,Yes
62.41328209,62.74106088,64.34088338,64.32403083,63.62051752,Yes
45.53333801,48.91661497,49.77758055,48.26385093,48.97207173,No
26.76551648,28.60826493,31.25953571,30.03616151,31.36127506,Yes
104.3888212,103.2940319,104.051485,106.2726583,105.5368429,No
62.41328209,62.70106088,59.72088338,63.54403083,63.62051752,Yes
104.3888212,103.6340319,103.051485,105.9026583,104.5368429,No
3.127185029,1.891002901,5.658986167,8.373160669,1.280262162,No
104.3888212,104.5140319,104.821485,106.1726583,105.5368429,No
106.1088212,103.7440319,102.851485,106.1726583,105.5368429,No
60.07328209,62.74106088,61.59088338,63.30403083,65.62051752,Yes
3.987185029,6.981002901,6.588986167,10.35316067,1.280262162,No
44.04333801,47.66661497,49.77758055,47.86385093,47.95207173,No
105.0288212,103.7440319,102.661485,106.1726583,105.5368429,No
45.53333801,49.64661497,49.77758055,48.27385093,48.95207173,No
